MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
338595000,2024-12-31T00:12:51,29.1388,-90.19782,0.0,314.2,160,ODYSSEA COUNT,IMO9264647,WDG8778,38.0,0.0,63.0,16.0,0.0,38.0,A
368006670,2024-12-31T01:28:23,29.837,-93.95667,0.0,95.5,185,BENSON GEORGE MORAN,IMO9824318,WDJ7434,52.0,0.0,28.0,12.0,5.0,52.0,A
368006020,2024-12-31T00:28:40,36.93088,-76.32992,0.0,353.9,85,ROSEMARY MCALLISTER,IMO9813644,WDJ7366,95.0,15.0,35.0,13.0,0.0,95.0,A
367409990,2024-12-31T03:29:33,30.38816,-81.55666,0.0,295.2,511,SHINEY V MORAN,IMO8649888,WDE8818,31.0,0.0,25.0,10.0,4.9,31.0,A
775998265,2024-12-31T02:07:52,17.97245,-67.03926,0.0,326.3,511,BLACK FISH II,IMO0000000,YD25995,37.0,,13.0,4.0,,,B
338010788,2024-12-31T00:10:47,33.91772,-78.02829,0.0,360.0,511,SYRINGA,IMO0000000,,36.0,,15.0,4.0,,,B
366997750,2024-12-31T00:55:49,30.05982,-93.36582,0.0,227.9,11,FATHER SEELOS,IMO8991011,WDC2789,31.0,12.0,146.0,22.0,3.1,57.0,A
367061610,2024-12-31T01:59:43,40.66816,-74.04067,0.8,146.4,171,BARNEY TURECAMO,IMO9132105,WDC6808,52.0,12.0,157.0,24.0,8.1,57.0,A
367656820,2024-12-31T01:17:32,30.13548,-93.32443,0.1,90.8,15,BRIANNA ELIZABETH,IMO101258454,WDH8320,52.0,12.0,24.0,10.0,3.1,57.0,A
316023608,2024-12-31T01:24:22,49.18472,-122.91548,0.0,204.5,511,KOOTENAY,IMO9678381,WAK6153,52.0,15.0,19.0,10.0,0.0,52.0,A
316012406,2024-12-31T00:57:30,48.43192,-123.42816,0.1,360.0,511,LAWRENCEVILLE YTL590,,CGJM,31.0,0.0,14.0,4.0,0.0,0.0,A
368144150,2024-12-31T01:33:09,34.16235,-119.22453,0.0,191.3,511,SILENT LADY,IMO0000000,WDL5759,37.0,,12.0,5.0,,,B
368007760,2024-12-31T02:53:23,47.99791,-122.21678,0.0,218.4,511,ROXIA,,WDJ7542,37.0,0.0,20.0,6.0,2.0,37.0,A
367496750,2024-12-31T01:27:12,31.00096,-91.64284,8.0,242.0,511,LEXINGTON,,WDF8617,32.0,0.0,59.0,15.0,3.3,32.0,A
538071128,2024-12-31T00:20:58,27.46727,-80.30309,0.0,321.8,50,MACGUFFIN,,V7NO2,37.0,5.0,30.0,7.0,2.7,37.0,A
367171010,2024-12-31T00:22:35,30.01022,-90.77017,1.8,43.9,142,ED,,WDD6296,52.0,0.0,16.0,8.0,2.9,52.0,A
367625190,2024-12-31T01:12:49,29.05671,-90.11593,0.1,247.3,511,GAR,IMO7832000,WDH5167,90.0,1.0,18.0,17.0,1.5,90.0,A
368328310,2024-12-31T00:39:23,24.98026,-79.90489,6.3,74.5,511,MAKA,IMO0000000,WDN9576,36.0,,14.0,8.0,,,B
215906000,2024-12-31T02:33:02,25.6339,-89.3767,15.5,291.7,290,ASKLIPIOS,IMO9884021,9HA5362,80.0,0.0,299.0,46.0,9.8,80.0,A
338703000,2024-12-31T03:07:17,39.73993,-75.49745,6.3,203.8,204,GENESIS VICTORY,IMO8973942,WDG9351,52.0,0.0,31.0,11.0,4.9,57.0,A
367637980,2024-12-31T03:02:31,30.05087,-90.48512,7.7,112.0,131,RAY A ECKSTEIN,,WDH6440,31.0,12.0,480.0,54.0,3.6,57.0,A
367537450,2024-12-31T00:23:37,29.86065,-89.97285,0.0,250.5,21,WILLIAM S,IMO9670286,WDG4522,31.0,0.0,29.0,11.0,3.7,90.0,A
368015490,2024-12-31T00:55:39,32.70655,-117.16575,0.0,36.5,511,MONIKANI,IMO0000000,WDJ8348,36.0,,15.0,3.0,,,B
209838000,2024-12-31T00:23:14,27.82253,-97.1916,0.0,340.2,19,FRONT ORKLA,IMO9933664,5BHW6,80.0,5.0,330.0,60.0,11.0,80.0,A
338424356,2024-12-31T00:13:42,32.13853,-80.81231,0.0,313.8,143,PERSEVERANCE,,,37.0,,16.0,5.0,,,B
338107037,2024-12-31T03:33:30,47.64977,-122.32997,0.0,88.1,159,WESTON MERRIT,IMO0000000,,37.0,,14.0,4.0,,,B
367653630,2024-12-31T01:48:52,46.15346,-123.37713,0.0,355.9,511,OSCAR B,,WDH7993,60.0,0.0,33.0,14.0,1.8,99.0,A
367510420,2024-12-31T00:45:26,27.81445,-97.41693,6.9,105.8,106,ERNEST YANCEY,IMO101236144,WDF9939,52.0,0.0,21.0,8.0,2.9,52.0,A
366952890,2024-12-31T01:39:42,40.69152,-74.03052,14.0,213.0,31,SPIRIT OF AMERICA,IMO9364423,WDB8298,69.0,0.0,104.0,22.0,4.3,60.0,A
366963250,2024-12-31T01:48:01,30.04926,-90.53827,0.0,10.0,277,ALVIN C JOHNSON,IMO100578276,WDB8721,31.0,0.0,347.0,44.0,3.0,52.0,A
367379290,2024-12-31T02:01:17,29.9689,-93.86022,0.0,252.7,221,DORELLA BANTA,,WDE6366,31.0,0.0,21.0,8.0,3.0,31.0,A
368352560,2024-12-31T00:30:12,30.2915,-87.55085,0.0,7.2,6,GEMLUX,IMO0000000,WDP4233,37.0,,17.0,6.0,,,B
366954210,2024-12-31T02:35:56,29.87895,-90.07209,0.0,357.4,511,SHELL FUELER,,WZW7217,31.0,0.0,21.0,6.0,2.5,31.0,A
316037418,2024-12-31T02:35:31,48.66928,-123.40699,0.0,360.0,511,NORTHERN LIGHTS,IMO0000000,,36.0,,15.0,4.0,,,B
366709000,2024-12-31T00:40:03,27.66517,-85.02299,8.7,104.1,103,LEGEND,IMO9601792,WDF9316,32.0,0.0,212.0,32.0,12.1,32.0,A
368122650,2024-12-31T02:29:19,29.89348,-92.45906,5.1,279.4,279,CSS SHENANDOAH,,WDL3541,57.0,12.0,253.0,14.0,3.0,57.0,A
366991080,2024-12-31T00:03:49,29.3694,-94.79116,6.2,56.3,511,JASON JOSEPH,,WDH6770,31.0,0.0,23.0,6.0,2.0,31.0,A
367121040,2024-12-31T03:28:20,48.14984,-88.89204,13.0,240.0,239,AMERICAN COURAGE,IMO7634226,WDD2879,70.0,0.0,194.0,21.0,0.0,70.0,A
